pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
0,0.2943395096893158,-1.6902128919963113,-1.6902128919963113,[0. 0. 0.],[0. 0. 0.]
1,0.27778400317434565,-1.948698429859705,-1.948698429859705,[0. 0. 0.],[0. 0. 0.]
2,0.0,-1.9248664967347453,1.0,[0. 0. 0.],[0. 0. 0.]
3,0.07682761714290717,-3.865462211543,-3.865462211543,[0. 0. 0.],[0. 0. 0.]
6,0.0,-1.6433036247888184,1.0,[0. 0. 0.],[0. 0. 0.]
7,0.0,-5.034054895685841,1.0,[0. 0. 0.],[0. 0. 0.]
12,0.0,-1.890753285698806,1.0,[0. 0. 0.],[0. 0. 0.]
16,0.0,-1.7436161580314864,1.0,[0. 0. 0.],[0. 0. 0.]
112,0.0,-2.738482626612483,1.0,[ 1.84580019e-01 -1.11890819e-08  3.36488958e-01],[ 1.84580019e-01 -1.11890819e-08  3.36488958e-01]
22,0.27695940498833377,-1.8847878422494064,-1.8847878422494064,[0. 0. 0.],[0. 0. 0.]
23,0.0,-4.839260193772358,1.0,[0. 0. 0.],[0. 0. 0.]
208,0.0,-3.226271677404532,1.0,[ 5.84042528e-01 -1.64250719e-08  1.10648530e+00],[ 5.84042528e-01 -1.64250719e-08  1.10648530e+00]
26,0.0,-1.8474033328277213,1.0,[0. 0. 0.],[0. 0. 0.]
27,0.19818557301030287,-1.9252260776410162,-1.9252260776410162,[0. 0. 0.],[0. 0. 0.]
29,0.20783913118808767,-1.8761625488227365,-1.8761625488227365,[0. 0. 0.],[0. 0. 0.]
30,0.20611930646203308,-1.8805503244601074,-1.8805503244601074,[0. 0. 0.],[0. 0. 0.]
186,0.031329165847908756,-5.1510270983918485,-5.785244515969171,[ 8.50932260e-01  0.00000000e+00 -9.91283672e-09],[ 8.50932260e-01  0.00000000e+00 -9.91283672e-09]
35,0.21665664763187492,-1.8249860850209954,-1.8249860850209954,[0. 0. 0.],[0. 0. 0.]
36,0.15211290198379665,-1.8155100592234534,-1.8155100592234534,[0. 0. 0.],[0. 0. 0.]
37,0.0,-2.763035049949773,1.0,[0. 0. 0.],[0. 0. 0.]
41,0.22561398439311312,-1.7813298238578008,-1.7813298238578008,[0. 0. 0.],[0. 0. 0.]
42,0.0,-2.1058120733621988,1.0,[0. 0. 0.],[0. 0. 0.]
45,0.0,-2.3668692883757663,1.0,[0. 0. 0.],[0. 0. 0.]
50,0.0,-1.6695105173858162,1.0,[0. 0. 0.],[0. 0. 0.]
304,0.04096056756276628,-5.154142706276443,-5.431816624894575,[ 3.36488958e-01 -1.68731528e-08 -1.47088107e-02],[ 3.36488958e-01 -1.68731528e-08 -1.47088107e-02]
451,0.0,-1.7773969223214285,1.0,[-0.01470881  0.          0.5989722 ],[-0.01470881  0.          0.5989722 ]
57,0.03229461175845105,-3.5893573586851133,-3.5893573586851133,[0. 0. 0.],[0. 0. 0.]
58,0.0,-1.6941430642334534,1.0,[0. 0. 0.],[0. 0. 0.]
63,0.017160725866068014,-3.4128897126459994,-3.4128897126459994,[0. 0. 0.],[0. 0. 0.]
66,0.0,-1.9277611315523036,1.0,[0. 0. 0.],[0. 0. 0.]
67,0.0,-1.8570133197613765,1.0,[0. 0. 0.],[0. 0. 0.]
68,0.0,-4.0912629877093725,1.0,[0. 0. 0.],[0. 0. 0.]
71,0.08138588928347391,-3.853046779355302,-3.853046779355302,[0. 0. 0.],[0. 0. 0.]
73,0.18893405553469508,-2.395673897706837,-2.395673897706837,[0. 0. 0.],[0. 0. 0.]
