pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
1,0.0,-5.439396698950546,1.0,[0. 0. 0.],[0. 0. 0.]
3,0.2753938430943813,-1.96616176925956,-1.96616176925956,[0. 0. 0.],[0. 0. 0.]
4,0.24060347473366359,-2.078495644808064,-2.078495644808064,[0. 0. 0.],[0. 0. 0.]
9,0.0,-4.049798399285557,1.0,[0. 0. 0.],[0. 0. 0.]
11,0.2584255981116376,-2.0696244353928224,-2.0696244353928224,[0. 0. 0.],[0. 0. 0.]
17,0.0,-1.9218199639021034,1.0,[0. 0. 0.],[0. 0. 0.]
20,0.00537109259771797,-3.741637308517798,-3.741637308517798,[0. 0. 0.],[0. 0. 0.]
21,0.0,-1.9943306571602288,1.0,[0. 0. 0.],[0. 0. 0.]
24,0.18266951210840338,-2.200864823530362,-2.200864823530362,[0. 0. 0.],[0. 0. 0.]
93,0.0,-3.052726998709022,1.0,[-0.87033975 -0.59848555 -0.31639623],[-0.87033975 -0.59848555 -0.31639623]
30,0.20962067985464003,-1.8656760027912502,-1.8656760027912502,[0. 0. 0.],[0. 0. 0.]
32,0.16266232419951862,-1.8361288339931277,-1.8361288339931277,[0. 0. 0.],[0. 0. 0.]
35,0.22192709981768374,-1.80488733456193,-1.80488733456193,[0. 0. 0.],[0. 0. 0.]
38,0.03689430228816971,-3.934785393969226,-3.934785393969226,[0. 0. 0.],[0. 0. 0.]
40,0.0,-3.841045349342969,1.0,[0. 0. 0.],[0. 0. 0.]
43,0.0320095062347136,-3.448294790726286,-3.448294790726286,[0. 0. 0.],[0. 0. 0.]
45,0.0,-2.479301362063341,1.0,[0. 0. 0.],[0. 0. 0.]
46,0.0,-1.9891491804801158,1.0,[0. 0. 0.],[0. 0. 0.]
47,0.22288030962614053,-1.7894409848279225,-1.7894409848279225,[0. 0. 0.],[0. 0. 0.]
49,0.07415209680555213,-3.722735410433136,-3.722735410433136,[0. 0. 0.],[0. 0. 0.]
50,0.0,-1.6418186581417824,1.0,[0. 0. 0.],[0. 0. 0.]
458,0.0,-1.6619918490442631,1.0,[-0.09510409 -0.80550548 -0.61951783],[-0.09510409 -0.80550548 -0.61951783]
461,0.0,-2.5777545621940057,1.0,[-0.76908463 -0.45924407 -0.84213165],[-0.76908463 -0.45924407 -0.84213165]
55,0.2603614293813515,-2.0270209730218274,-2.0270209730218274,[0. 0. 0.],[0. 0. 0.]
56,0.0,-4.909356884327171,1.0,[0. 0. 0.],[0. 0. 0.]
464,0.07106914020628881,-5.448214095214144,-7.056905451104367,[-0.80415464 -0.80455882 -0.86749654],[-0.80415464 -0.80455882 -0.86749654]
