pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
2,0.0,-1.6696710818848053,1.0,[0. 0. 0.],[0. 0. 0.]
105,0.0,-3.0836168065558516,1.0,[ 0.32590413  0.78833256 -0.04489845],[ 0.32590413  0.78833256 -0.04489845]
10,0.02485724507224828,-5.073947576696575,-5.073947576696575,[0. 0. 0.],[0. 0. 0.]
11,0.2571496383823172,-2.0745614188173755,-2.0745614188173755,[0. 0. 0.],[0. 0. 0.]
12,0.0,-1.8958683501226201,1.0,[0. 0. 0.],[0. 0. 0.]
13,0.0,-1.875772649488032,1.0,[0. 0. 0.],[0. 0. 0.]
16,0.0,-1.8992532151265071,1.0,[0. 0. 0.],[0. 0. 0.]
18,0.0,-1.840350666122484,1.0,[0. 0. 0.],[0. 0. 0.]
21,0.21149322935705014,-2.296798221402894,-2.296798221402894,[0. 0. 0.],[0. 0. 0.]
475,0.0,-2.9649806033744177,1.0,[0.16644389 0.59375937 0.74763181],[0.16644389 0.59375937 0.74763181]
42,0.03067677196894401,-5.134279774755845,-6.17362191229296,[ 0.79708485 -0.40551174  0.93969494],[ 0.79708485 -0.40551174  0.93969494]
33,0.0,-4.043748248632799,1.0,[0. 0. 0.],[0. 0. 0.]
35,0.22274802699922608,-1.8009901471609289,-1.8009901471609289,[0. 0. 0.],[0. 0. 0.]
41,0.0,-2.5569485394608114,1.0,[0. 0. 0.],[0. 0. 0.]
43,0.0,-3.9445110150094633,1.0,[0. 0. 0.],[0. 0. 0.]
44,0.04810424908300925,-3.632247718625856,-3.632247718625856,[0. 0. 0.],[0. 0. 0.]
241,0.0,-1.746277063937149,1.0,[-0.02339972  0.         -0.62822962],[-0.02339972  0.         -0.62822962]
48,0.22744741109404557,-1.7718538082242372,-1.7718538082242372,[0. 0. 0.],[0. 0. 0.]
49,0.0,-2.925685847578231,1.0,[0. 0. 0.],[0. 0. 0.]
50,0.2647245866962668,-1.9781789086384969,-1.9781789086384969,[0. 0. 0.],[0. 0. 0.]
51,0.0,-4.944906808555507,1.0,[0. 0. 0.],[0. 0. 0.]
53,0.03795424255925207,-4.185799898431486,-4.185799898431486,[0. 0. 0.],[0. 0. 0.]
55,0.07103879998171744,-4.436141369061641,-4.436141369061641,[0. 0. 0.],[0. 0. 0.]
59,0.2705507280399805,-1.7846023874562873,-1.7846023874562873,[0. 0. 0.],[0. 0. 0.]
62,0.0,-1.7490061475793766,1.0,[0. 0. 0.],[0. 0. 0.]
64,0.23298686558561787,-2.172285584775062,-2.172285584775062,[0. 0. 0.],[0. 0. 0.]
66,0.23084172385781485,-2.1922376523898377,-2.1922376523898377,[0. 0. 0.],[0. 0. 0.]
68,0.20828915965589087,-2.288005400256418,-2.288005400256418,[0. 0. 0.],[0. 0. 0.]
75,0.0,-1.9426000040270552,1.0,[0. 0. 0.],[0. 0. 0.]
76,0.0,-1.9800036555660536,1.0,[0. 0. 0.],[0. 0. 0.]
78,0.0,-3.7409924170409026,1.0,[0. 0. 0.],[0. 0. 0.]
79,0.0,-2.824322421674835,1.0,[0. 0. 0.],[0. 0. 0.]
83,0.0,-2.137271357280857,1.0,[0. 0. 0.],[0. 0. 0.]
338,0.0410651018503977,-5.485416394646357,-6.680738231920968,[ 0.93099716  0.         -0.62892213],[ 0.93099716  0.         -0.62892213]
94,0.0,-4.76229693328002,1.0,[0. 0. 0.],[0. 0. 0.]
340,0.019518731165061556,-6.250594627711447,-7.412812787002881,[ 0.90193415  0.         -0.0156411 ],[ 0.90193415  0.         -0.0156411 ]
100,0.0,-1.6473515670215089,1.0,[0. 0. 0.],[0. 0. 0.]
101,0.0,-1.8397880029586884,1.0,[0. 0. 0.],[0. 0. 0.]
107,0.2578030495561077,-2.041695538482593,-2.041695538482593,[0. 0. 0.],[0. 0. 0.]
108,0.0,-1.7759161476750864,1.0,[0. 0. 0.],[0. 0. 0.]
110,0.24902161860979516,-1.855447744467434,-1.855447744467434,[0. 0. 0.],[0. 0. 0.]
910,0.0,-5.279815308123053,1.0,[ 0.17402222 -0.46534814 -0.69117265],[ 0.17402222 -0.46534814 -0.69117265]
112,0.23720563734747696,-2.1423929713556156,-2.1423929713556156,[0. 0. 0.],[0. 0. 0.]
113,0.2447007422258751,-2.1263858265324695,-2.1263858265324695,[0. 0. 0.],[0. 0. 0.]
117,0.0,-4.0284278066684225,1.0,[0. 0. 0.],[0. 0. 0.]
1059,0.0,-1.9302245795287947,1.0,[-0.04489845 -0.39050825 -0.62434693],[-0.04489845 -0.39050825 -0.62434693]
