pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
4,0.00010839415537314968,-3.6457904196879367,-3.6457904196879367,[0. 0. 0.],[0. 0. 0.]
5,0.0,-1.6400956886358307,1.0,[0. 0. 0.],[0. 0. 0.]
6,0.0,-4.100929109424763,1.0,[0. 0. 0.],[0. 0. 0.]
8,0.0,-4.052981991551762,1.0,[0. 0. 0.],[0. 0. 0.]
12,0.0,-4.293727024722157,1.0,[0. 0. 0.],[0. 0. 0.]
15,0.0,-1.7559875322406588,1.0,[0. 0. 0.],[0. 0. 0.]
17,0.2318656341244017,-2.1965006045238846,-2.1965006045238846,[0. 0. 0.],[0. 0. 0.]
18,0.0,-1.8727033855761495,1.0,[0. 0. 0.],[0. 0. 0.]
19,0.04034239292858776,-4.5820998994110305,-4.5820998994110305,[0. 0. 0.],[0. 0. 0.]
20,0.0,-1.843221786954432,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.21179734710500542,-2.301069350857491,-2.301069350857491,[0. 0. 0.],[0. 0. 0.]
23,0.04984464279857263,-4.373666207642395,-4.373666207642395,[0. 0. 0.],[0. 0. 0.]
313,0.0,-2.3713415204051014,1.0,[-0.02671236  0.          0.        ],[-0.02671236  0.          0.        ]
25,0.0,-1.9237811159950453,1.0,[0. 0. 0.],[0. 0. 0.]
26,0.17160806684179378,-2.492964273898454,-2.492964273898454,[0. 0. 0.],[0. 0. 0.]
27,0.0,-4.485699578473113,1.0,[0. 0. 0.],[0. 0. 0.]
30,0.21042829633093016,-1.8648141201485287,-1.8648141201485287,[0. 0. 0.],[0. 0. 0.]
39,0.0,-4.211836404785595,1.0,[0. 0. 0.],[0. 0. 0.]
40,0.04590466334176455,-4.3189841397369015,-4.3189841397369015,[0. 0. 0.],[0. 0. 0.]
128,0.0,-6.034119813962581,1.0,[ 1.52884973e-01  2.29063260e-01 -3.17037320e-09],[ 1.52884973e-01  2.29063260e-01 -3.17037320e-09]
42,0.00039438416833385544,-3.487042960581207,-3.487042960581207,[0. 0. 0.],[0. 0. 0.]
44,0.0,-4.422244595975007,1.0,[0. 0. 0.],[0. 0. 0.]
47,0.22753840480247764,-1.7714730094970699,-1.7714730094970699,[0. 0. 0.],[0. 0. 0.]
49,0.0,-4.315304790370864,1.0,[0. 0. 0.],[0. 0. 0.]
318,0.0,-2.3836070226889405,1.0,[-0.03434791  0.          0.        ],[-0.03434791  0.          0.        ]
52,0.0,-1.6407791763670703,1.0,[0. 0. 0.],[0. 0. 0.]
363,0.0,-2.7413537937615455,1.0,[0.13033237 0.         0.        ],[0.13033237 0.         0.        ]
54,0.0,-4.147217594534613,1.0,[0. 0. 0.],[0. 0. 0.]
57,0.0,-1.6681283527599082,1.0,[0. 0. 0.],[0. 0. 0.]
58,0.04617452869991442,-4.118182726701805,-4.118182726701805,[0. 0. 0.],[0. 0. 0.]
60,0.2821803826690691,-1.7658541378450483,-1.7658541378450483,[0. 0. 0.],[0. 0. 0.]
64,0.03488134095586262,-4.237442698462344,-4.237442698462344,[0. 0. 0.],[0. 0. 0.]
66,0.015168406902750408,-5.268214301523812,-5.268214301523812,[0. 0. 0.],[0. 0. 0.]
72,0.0,-1.8696788270369413,1.0,[0. 0. 0.],[0. 0. 0.]
75,0.0,-5.021474535230119,1.0,[0. 0. 0.],[0. 0. 0.]
76,0.16812444551833855,-2.5146646061810194,-2.5146646061810194,[0. 0. 0.],[0. 0. 0.]
80,0.0,-2.0887370602807254,1.0,[0. 0. 0.],[0. 0. 0.]
86,0.028883735155588893,-4.637412605821348,-4.637412605821348,[0. 0. 0.],[0. 0. 0.]
87,0.026175926277248615,-4.944097733234248,-4.944097733234248,[0. 0. 0.],[0. 0. 0.]
90,0.0,-2.115640459186815,1.0,[0. 0. 0.],[0. 0. 0.]
91,0.0,-4.040620652520293,1.0,[0. 0. 0.],[0. 0. 0.]
177,0.0,-3.3645926038797187,1.0,[ 2.11371842e-01  1.40071047e-01 -3.39270208e-09],[ 2.11371842e-01  1.40071047e-01 -3.39270208e-09]
95,0.22606513853657553,-1.7769102023830095,-1.7769102023830095,[0. 0. 0.],[0. 0. 0.]
